;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;32439.869700;0;0.104928;
Non-renewable;Fossil fuel;GASOLINE;0.000000;0.3448;0.09404786;
Non-renewable;Fossil fuel;DIESEL;0.000000;0.3148;0.09105369;
Renewable;Biofuel;BIOETHANOL;0.001098;0;0.10014511;
Renewable;Biofuel;BIODIESEL;4102.976123;0;0.10875568;
Non-renewable;Fossil fuel;LFO;0.000000;0.3115;0.06868162;
Non-renewable;Fossil fuel;GAS;0.000000;0.2666;0.05329867;
Renewable;Biofuel;GAS_RE;24280.089293;0;0.10430636;
Renewable;Biomass;WOOD;23400.000000;0.0118;0.03550648;
Renewable;Biomass;WET_BIOMASS;38900.000000;0.0118;0.00622964;
Non-renewable;Fossil fuel;COAL;0.000000;0.4014;0.01814538;
Non-renewable;Other non-renewable;URANIUM;0.000000;0.0039;0.00387646;
Non-renewable;Other non-renewable;WASTE;17800.000000;0.1501;0.02497388;
Non-renewable;Other non-renewable;H2;0.000003;0.33656258;0.0955067;
Renewable;Biofuel;H2_RE;23359.793100;0;0.10063038;
Non-renewable;Other non-renewable;AMMONIA;0.000000;0.285;0.11407418;
Non-renewable;Other non-renewable;METHANOL;0.000000;0.35;0.11645027;
Renewable;Biofuel;AMMONIA_RE;56791.087922;0;0.07089528;
Renewable;Biofuel;METHANOL_RE;82176.520904;0;0.10014511;
Export;Export;ELEC_EXPORT;174.401938;0;0;
Export;Export;CO2_EMISSIONS;54479.132853;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;
Others;Others;CO2_ATM ;0.000231;0;0;
Others;Others;CO2_INDUSTRY ;0.000000;0;0;
Others;Others;CO2_CAPTURED;0.000000;0;0;
